,posemo,negemo,anx,anger,sad
125730,4.66,2.48,0,0.62,0
107585,4.58,2.4,0.44,0,0
192978,4.31,1.85,0.92,0,0.31
206179,6.43,0.8,0,0,0
252919,3.78,4.36,0.29,2.33,0
47472,3.91,2.61,0.43,0.43,0
209869,2.42,4.5,1.38,2.08,0.35
82666,4.37,2.53,0,0.69,0
111734,5.13,2.14,0,0,0.43
46618,6.02,1.2,0,0,0
241178,4.66,0.85,0,0.42,0
26113,8.11,1.62,0.54,0,0
245322,4.37,1.09,0,0,1.09
218757,3.1,2.01,0.18,0.91,0
119397,2.97,0.74,0,0,0
96377,3.72,3.72,0,0.41,0.83
122842,4.17,4.17,0,3.33,0
49073,7.14,1.13,0,0.75,0
194299,2.6,4.17,0,1.04,2.08
261900,3.38,2,0.46,0.62,0.77
256174,2.26,0.56,0,0,0
36116,5.19,1.42,0,0.47,0
132476,4.44,1.59,0,0,0
201005,3.13,1.04,0,0,0
257531,3.2,1.42,0.71,0,0
113491,4.84,1.08,0,0,1.08
29751,3.48,2.99,0,0.5,0
60351,3.11,0,0,0,0
193291,5.17,2.59,0,0,0.43
224285,8.2,1.17,0,0,0
106077,3.08,0.88,0,0,0
84772,6.06,4.24,1.82,0,0
265959,3.3,7.81,0.6,0.9,0
22360,6.04,0,0,0,0
193093,3.98,4.42,0,0.44,2.21
219460,3.08,4.2,0.56,1.12,0.28
208592,3.02,2.64,0,0,0.38
21696,5.14,3.43,1.14,0.57,0
199227,9.52,5.44,0,2.04,0.68
220550,7.99,1.1,0.28,0,0
49264,2.74,2.74,0,2.74,0
93839,2.84,3.79,0,1.9,0
21735,4.94,0.62,0,0,0.62
136215,4.85,0.37,0,0.37,0
245243,5.19,0.58,0,0,0
30162,3.37,2.4,0,0.24,0
265811,5.65,1.47,0,1.23,0
368460,5.05,1.08,0,0.36,0
246789,4.91,1.4,0.35,0.35,0.7
262165,3.16,2.79,0.19,0.93,0
213207,4.21,1.87,0.47,0.47,0
270993,6.1,1.59,0.27,1.06,0
43371,7.89,0,0,0,0
112604,3.52,1.01,0,0,0
90667,10.84,0.7,0.35,0,0
79934,5.45,2.48,0,0,0
204085,4.67,0.47,0.47,0,0
267278,6.67,2.53,0.23,2.07,0
282586,2.36,2.06,0.88,0.29,0
90172,6.02,3.01,0,1.25,0.25
132570,4.51,0.41,0,0.41,0
126505,5.97,0.75,0,0.37,0
268836,2.12,4.42,0.38,0.77,0.58
247382,3.55,0.89,0,0,0.3
224631,2.13,0.71,0,0,0
251251,2.12,1.77,0.71,0,0
24602,1.88,0.63,0,0.63,0
132028,4.85,0.61,0,0,0
114945,5.22,1.74,0.43,0,0
89184,7.25,1.55,0,0.52,0
35684,4.59,1.02,0,0,0.51
231412,7.28,2.65,0,1.99,0
276771,3.15,1.18,0,0.79,0
26808,4.37,0.49,0,0,0
71987,2.45,6.13,0,0.61,0
246117,4.19,2.4,0,0.6,0
45175,4.74,2.37,0,1.42,0
49029,5.49,3.66,0,2.52,0
40970,3.96,1.44,0,0,0
219605,4.36,1.34,0,0.34,0
46497,1.84,4.29,0.61,1.23,0
36164,3.59,1.1,0,0,0
29044,4.09,1.09,0,0,0
69307,6.53,2.45,0,0.82,0.82
242166,6.02,3.34,0,1,0.33
122602,4.66,3.58,0,0.72,1.08
32459,6.86,3.43,0.49,0,0
270665,2.63,1.39,0,0,0.93
283935,2.34,4.09,0.58,0,0
80566,3.52,3.02,0,1.51,0
196364,3.85,3.5,0.7,0.7,0.35
116202,2.79,0.93,0,0.93,0
22689,3.6,3.6,0,0,0.8
131871,2.01,2.01,1.2,0,0
180923,4.12,1.65,0,0.82,0
52839,4.98,4.21,0.38,0.77,0.38
252177,4.13,2.75,0,0.92,0
78752,3,2.15,0,0.86,0
74197,4.69,0.94,0,0,0.47
96106,6.59,0,0,0,0
280794,2.8,4.66,0.7,0.7,0
230692,2.88,4.49,0.64,2.56,0.32
209775,6.64,1.66,0,0.83,0
120363,8,2.18,0.73,0.73,0.36
96099,2.59,2.59,0,0,1.11
128059,5.63,3.58,0,1.53,0.26
298736,3.11,1.65,0,0,0
224817,2.48,3.47,0,0.5,0
96700,4.82,3.07,0,1.32,0
214095,7.45,3.72,0,0,0.53
273032,3.05,1.22,0.2,0,0.41
91292,7.75,2.11,0,1.41,0
130366,0.85,1.7,0,0.43,0.43
63951,0.7,4.53,0.35,1.74,0
98513,6.63,0,0,0,0
109524,8.83,1.77,0,0.35,0
79935,1.92,4.49,0.32,0,0.32
112674,3.26,1.09,0,0,0
223377,4.02,1.79,0,0.45,0
98505,8.33,2.17,0,1.45,0.36
27863,4.11,3.77,0.34,0.68,0
118371,5.56,1.19,0,0.4,0.4
83119,4.29,1.84,0,0,0
188004,3.67,0.82,0,0,0.41
27888,3.28,2.73,0.55,0.55,0
91284,3.37,2.4,0.48,0.48,0.48
48724,3.56,0.79,0,0.4,0
96058,3.53,1.44,0.48,0,0.16
233366,4.76,0,0,0,0
245582,4.73,3.64,0.73,0.36,0.73
267092,3.91,3.22,0.46,0.92,0
38374,3.28,1.82,0,0,0
267694,4.19,4.84,0.65,0.97,0
140293,3.56,4,0,1.78,0
290546,2.01,2.41,0.8,0.4,0
323217,5.12,0.93,0,0,0
188825,6.71,1.01,0,0.34,0
258672,3.62,0.9,0,0.45,0
22884,5.3,1.14,0.38,0.38,0
57598,2.7,1.35,0,1.01,0
46495,5.2,2.89,0,0.58,0
60308,6.67,0,0,0,0
84924,6.9,1.53,0,0.38,0
255343,4.07,1.74,0,0,0
22649,4.1,0.41,0,0,0.41
73360,7.57,0.54,0,0,0.54
25640,2.98,1.19,0,0.6,0
107456,4.67,0.93,0,0,0.47
276217,4.67,0.97,0,0.19,0
90986,2.42,2.42,0.4,0.81,0
125344,5.97,3.46,0,0,0
22305,4.42,2.76,0,1.66,0.55
108573,7.91,0,0,0,0
42426,2.51,0,0,0,0
35692,5.91,1.34,0.27,0,0.27
31392,0.68,0,0,0,0
210555,7.51,1.73,0,0.58,1.16
25522,3.76,3.01,0,0.75,0.75
28006,1.19,4.52,0.24,1.43,0.95
238597,4.15,0.64,0,0,0.32
266366,1.58,3.33,0,0.32,0.48
202810,4.2,3.5,0.35,0,0
11650,3.91,0.49,0,0,0
114006,3.95,2.82,1.13,0,0
133888,5.05,0.92,0,0,0
83859,5.75,0.46,0,0,0
128258,4,2,0,0,1
236021,4.55,0.51,0.51,0,0
101635,4.17,3.75,0,0.83,0
233171,2.19,3.07,0,0.44,0.88
91252,3.23,5.07,0,2.76,0
267252,2.08,6.92,1.38,1.38,0
17769,4.33,1.44,0,0,0.48
44457,5.22,1.12,0,0.37,0
63956,10.87,1.63,0,0,0
256935,2.18,3.27,0.27,0.82,0.82
87434,4.55,0.38,0,0,0
273237,4.02,2.62,0,0.4,0
202431,1.88,2.5,1.25,0,0
93119,8.13,4.07,0,0.81,0
49417,3.46,2.39,0,1.33,0.53
233405,5,0.83,0,0.28,0.28
114016,5.7,3.51,0,3.07,0
33436,5.64,2.05,0,1.03,0
208322,4.93,2.82,0.35,0,0
74184,5.1,1.53,0,0,0
89747,4.59,2.29,0.23,0.46,0
216097,4.39,0.44,0,0,0
254298,3.32,2.99,0,1.66,0.66
234587,3.82,1.91,0.32,0.32,0.32
241124,3.19,1.59,0.4,0,0
105906,3.44,0.76,0,0,0
230252,4.9,1.96,1.47,0.49,0
105537,6.74,1.12,0,0.56,0
113369,3.67,3.21,0,1.38,0.92
206051,2.7,3.24,0.54,0,0
233940,4.36,0.67,0.34,0.34,0
28412,7.33,0.59,0,0,0
22880,5.18,2.59,0,1.04,0
251646,4.26,3.49,0,1.55,0
34984,3.54,4.3,0.25,2.28,0
131650,1.52,5.08,1.02,0.51,0
100499,4.1,0.51,0,0,0
101787,8.51,1.6,0,0.53,0
255408,5.42,1.2,0,0,0
280584,7.8,0.46,0,0.46,0
118573,3.18,2.55,0.32,0.64,0.64
139032,3.12,2.7,0,0,0.21
270449,2.01,1.34,0.67,0,0
204519,7.81,4.17,1.04,0.52,0.52
243646,3.56,2.59,0.32,0.32,1.29
233389,2.73,4.37,0,0,1.09
238545,4.01,1.87,0,0.27,0
49358,4.49,2.86,0,0,0.82
118639,5.58,1.86,0,0.74,0
222247,3.7,1.59,0,0.53,0.53
224622,4.09,0,0,0,0
160225,5.94,0.46,0,0,0
255226,3.15,3.72,0.57,0.86,0.57
40181,2.4,3.37,0.24,1.92,0.24
220134,3.57,4.32,0.19,1.13,0.56
84670,4.88,0.49,0,0,0
238023,4.51,3.92,0.59,1.37,0.2
68828,4.55,2.27,1.14,0,0
267255,3.82,2.87,0,0.32,0.32
79925,4.78,0.55,0,0,0.18
75892,7.95,2.27,0,0,0.57
127622,4.46,5.1,0,3.18,0
255224,5.28,3.11,0,0.31,0.62
58096,4.09,3.35,0.37,0,0.74
69707,3.1,1.67,0,0.71,0.48
31544,3.79,0,0,0,0
98649,4.21,0,0,0,0
89787,3.24,2.35,0,0.88,0
218708,3.21,1.07,0,0.36,0
203466,4.46,4.46,0,1.98,0
243056,3.79,2.07,1.03,0.69,0
46860,1.79,2.23,0,1.34,0
81668,0.8,3.21,0,0,0.8
17622,2.58,2.58,0.52,0.52,0
95147,6.47,2.88,0.72,0.72,0
31197,2.48,2.48,0,1.65,0.83
219600,2.66,1.18,0,0.3,0
253709,6.81,1.7,0.43,0,0
17811,2.6,1.56,0,0,0
244261,3.67,1.22,0,0,0
219614,3.46,2.31,0,1.73,0
302220,4.32,1.85,0.62,0.31,0
271594,3.23,2.31,0,0.46,0
210618,5.28,0.41,0,0,0
24202,0.45,5.91,0.91,0,0.91
238803,2.9,2.9,0,1.16,0.29
106941,5.2,3.47,0.58,0.58,0
238624,3.4,2.98,1.28,1.28,0
116213,2.58,0.86,0,0.43,0.43
101747,2.84,2.37,0,0.95,0
88881,4.15,1.55,0,1.55,0
135623,5.45,1.6,0.32,0.32,0.64
342407,4.13,1.59,0,0,0.63
210433,6.64,1.66,0,0,0.41
122439,3.18,1.27,0,0,0
35694,6.21,0.89,0,0.3,0
218912,4.17,1.67,0.83,0,0
134298,3.07,5.52,1.23,0.61,0
209758,3.64,0.36,0,0,0
130149,3.45,6.03,0,0,0
22277,6.9,1.38,0,0.69,0
254488,5.02,2.82,0.94,0.31,0
70280,2.21,1.58,0.63,0.95,0
58097,6.74,2.07,0,0,0
23343,7.78,0.3,0,0,0
66623,7.57,1.26,0,0.95,0
219775,7.55,0.47,0,0.47,0
88077,2.27,2.05,0.23,0,0.23
115134,6.67,1.82,0,0,0.61
